"crime","neighbourhood","incidents","year"
"Arson","Al Ritchie",10,2014
"Assault","Al Ritchie",79,2014
"Attempt Murder","Al Ritchie",0,2014
"B&E (Business)","Al Ritchie",6,2014
"B&E (Garage)","Al Ritchie",64,2014
"B&E (Other)","Al Ritchie",6,2014
"B&E (Residence)","Al Ritchie",45,2014
"B&E Motor Vehicle Firearms","Al Ritchie",0,2014
"Controlled Drugs","Al Ritchie",35,2014
"Crimes Against Property(2150-2166)","Al Ritchie",27,2014
"Dangerous Operation","Al Ritchie",4,2014
"Deprivation of Freedom","Al Ritchie",1,2014
"Gaming&Betting","Al Ritchie",9,2014
"HWY Traffic Violation","Al Ritchie",65,2014
"Impaired Operation","Al Ritchie",28,2014
"Mischief","Al Ritchie",106,2014
"Municipal ByLaws","Al Ritchie",2,2014
"Offensive Weapons","Al Ritchie",9,2014
"Other Crminal Code Traffic","Al Ritchie",16,2014
"Other Federal Statute Violations","Al Ritchie",12,2014
"Other Theft Over","Al Ritchie",4,2014
"Other Theft Under","Al Ritchie",98,2014
"OtherCriminalCode (A)","Al Ritchie",107,2014
"OtherCriminalCode (B)","Al Ritchie",16,2014
"Prostitution","Al Ritchie",2,2014
"Provincial Statutes","Al Ritchie",71,2014
"Sexual Assault","Al Ritchie",13,2014
"Shoplift Over","Al Ritchie",2,2014
"Shoplift Under","Al Ritchie",29,2014
"Special Inq(8510-8640)","Al Ritchie",470,2014
"Special Inq(8660-8814)","Al Ritchie",216,2014
"Theft From Auto Over","Al Ritchie",7,2014
"Theft From Auto Under","Al Ritchie",85,2014
"Theft of Motor Vehicle VA, VT","Al Ritchie",58,2014
"Theft of Other Vehicle VM, VO","Al Ritchie",3,2014
"Violation Causing Death","Al Ritchie",4,2014
"Violence/Threat","Al Ritchie",398,2014
"Total","Al Ritchie",1347,2014
"Arson","Albert Park",4,2014
"Assault","Albert Park",56,2014
"Attempt Murder","Albert Park",0,2014
"B&E (Business)","Albert Park",7,2014
"B&E (Garage)","Albert Park",15,2014
"B&E (Other)","Albert Park",20,2014
"B&E (Residence)","Albert Park",31,2014
"B&E Motor Vehicle Firearms","Albert Park",2,2014
"Controlled Drugs","Albert Park",25,2014
"Crimes Against Property(2150-2166)","Albert Park",52,2014
"Dangerous Operation","Albert Park",6,2014
"Deprivation of Freedom","Albert Park",0,2014
"Gaming&Betting","Albert Park",22,2014
"HWY Traffic Violation","Albert Park",285,2014
"Impaired Operation","Albert Park",35,2014
"Mischief","Albert Park",123,2014
"Municipal ByLaws","Albert Park",2,2014
"Offensive Weapons","Albert Park",9,2014
"Other Crminal Code Traffic","Albert Park",36,2014
"Other Federal Statute Violations","Albert Park",5,2014
"Other Theft Over","Albert Park",10,2014
"Other Theft Under","Albert Park",107,2014
"OtherCriminalCode (A)","Albert Park",68,2014
"OtherCriminalCode (B)","Albert Park",10,2014
"Prostitution","Albert Park",14,2014
"Provincial Statutes","Albert Park",87,2014
"Sexual Assault","Albert Park",5,2014
"Shoplift Over","Albert Park",8,2014
"Shoplift Under","Albert Park",130,2014
"Special Inq(8510-8640)","Albert Park",435,2014
"Special Inq(8660-8814)","Albert Park",411,2014
"Theft From Auto Over","Albert Park",9,2014
"Theft From Auto Under","Albert Park",114,2014
"Theft of Motor Vehicle VA, VT","Albert Park",50,2014
"Theft of Other Vehicle VM, VO","Albert Park",12,2014
"Violation Causing Death","Albert Park",5,2014
"Violence/Threat","Albert Park",548,2014
"Total","Albert Park",1696,2014
"Arson","Argyle Park",0,2014
"Assault","Argyle Park",19,2014
"Attempt Murder","Argyle Park",2,2014
"B&E (Business)","Argyle Park",0,2014
"B&E (Garage)","Argyle Park",1,2014
"B&E (Other)","Argyle Park",5,2014
"B&E (Residence)","Argyle Park",6,2014
"B&E Motor Vehicle Firearms","Argyle Park",0,2014
"Controlled Drugs","Argyle Park",16,2014
"Crimes Against Property(2150-2166)","Argyle Park",18,2014
"Dangerous Operation","Argyle Park",6,2014
